src_lang,dest_lang,latent_lang,avg,sem95_error,avg_latent,sem95_error_latent
en,zh,fr,0.8096210956573486,0.03822837024927139,0.1027296781539917,0.06122612953186035
en,zh,es,0.8096210956573486,0.03822837024927139,0.030168531462550163,0.024903854355216026
en,zh,de,0.8096210956573486,0.03822837024927139,0.013782823458313942,0.015144859440624714
en,zh,ru,0.8096210956573486,0.03822837024927139,0.00845639780163765,0.004932954907417297
en,fr,zh,0.8630595803260803,0.038620475679636,0.020831070840358734,0.01107278186827898
en,fr,es,0.8630595803260803,0.038620475679636,0.1206129863858223,0.05554262548685074
en,fr,de,0.8630595803260803,0.038620475679636,0.020737921819090843,0.015707846730947495
en,fr,ru,0.8630595803260803,0.038620475679636,0.004122922662645578,0.003953067120164633
en,es,zh,0.8929221630096436,0.03540100157260895,0.017574893310666084,0.009021746926009655
en,es,fr,0.8929221630096436,0.03540100157260895,0.13055063784122467,0.060509756207466125
en,es,de,0.8929221630096436,0.03540100157260895,0.01112427283078432,0.01453936193138361
en,es,ru,0.8929221630096436,0.03540100157260895,0.0028935440350323915,0.002034518402069807
en,de,zh,0.8144819140434265,0.042583953589200974,0.0600246787071228,0.02870764583349228
en,de,fr,0.8144819140434265,0.042583953589200974,0.1052727922797203,0.05386558547616005
en,de,es,0.8144819140434265,0.042583953589200974,0.023076219484210014,0.02173808217048645
en,de,ru,0.8144819140434265,0.042583953589200974,0.004951419774442911,0.007176396902650595
en,ru,zh,0.8355252742767334,0.04770515859127045,0.028205417096614838,0.01283087395131588
en,ru,fr,0.8355252742767334,0.04770515859127045,0.11413656920194626,0.06331628561019897
en,ru,es,0.8355252742767334,0.04770515859127045,0.02809017337858677,0.024745585396885872
en,ru,de,0.8355252742767334,0.04770515859127045,0.01189099345356226,0.012608664110302925
zh,en,fr,0.7643213868141174,0.042689960449934006,0.09742036461830139,0.05033741146326065
zh,en,es,0.7643213868141174,0.042689960449934006,0.04308806359767914,0.02892272360622883
zh,en,de,0.7643213868141174,0.042689960449934006,0.010897965170443058,0.00783796701580286
zh,en,ru,0.7643213868141174,0.042689960449934006,0.0017869037110358477,0.0014918561792001128
zh,fr,en,0.7320390343666077,0.05285215377807617,0.7470190525054932,0.06193344295024872
zh,fr,es,0.7320390343666077,0.05285215377807617,0.11967384815216064,0.05296950414776802
zh,fr,de,0.7320390343666077,0.05285215377807617,0.021861325949430466,0.01648254506289959
zh,fr,ru,0.7320390343666077,0.05285215377807617,0.0032934099435806274,0.003082399955019355
zh,es,en,0.7541839480400085,0.04602709040045738,0.7606012225151062,0.0598209910094738
zh,es,fr,0.7541839480400085,0.04602709040045738,0.12211384624242783,0.05527891963720322
zh,es,de,0.7541839480400085,0.04602709040045738,0.014902117662131786,0.015353096649050713
zh,es,ru,0.7541839480400085,0.04602709040045738,0.0025706703308969736,0.0018330961465835571
zh,de,en,0.6732342839241028,0.04680540785193443,0.6564260125160217,0.07080969214439392
zh,de,fr,0.6732342839241028,0.04680540785193443,0.08872246742248535,0.051997337490320206
zh,de,es,0.6732342839241028,0.04680540785193443,0.02853105217218399,0.020540084689855576
zh,de,ru,0.6732342839241028,0.04680540785193443,0.0033884039148688316,0.0019081148784607649
zh,ru,en,0.6906246542930603,0.05689000338315964,0.7380849719047546,0.06485795229673386
zh,ru,fr,0.6906246542930603,0.05689000338315964,0.0949765145778656,0.055193621665239334
zh,ru,es,0.6906246542930603,0.05689000338315964,0.023197585716843605,0.010971292853355408
zh,ru,de,0.6906246542930603,0.05689000338315964,0.012352097779512405,0.01336757279932499
fr,en,zh,0.8826234340667725,0.031313568353652954,0.025094522163271904,0.01608477346599102
fr,en,es,0.8826234340667725,0.031313568353652954,0.033610716462135315,0.024949997663497925
fr,en,de,0.8826234340667725,0.031313568353652954,0.006107686553150415,0.004749346990138292
fr,en,ru,0.8826234340667725,0.031313568353652954,0.0017019130755215883,0.001010246342048049
fr,zh,en,0.8152666687965393,0.03806678205728531,0.7802347540855408,0.05660181865096092
fr,zh,es,0.8152666687965393,0.03806678205728531,0.038039468228816986,0.024694213643670082
fr,zh,de,0.8152666687965393,0.03806678205728531,0.015685467049479485,0.015672748908400536
fr,zh,ru,0.8152666687965393,0.03806678205728531,0.010197456926107407,0.005457346327602863
fr,es,en,0.8824000954627991,0.03571274131536484,0.8803015351295471,0.044024042785167694
fr,es,zh,0.8824000954627991,0.03571274131536484,0.023922108113765717,0.010521326214075089
fr,es,de,0.8824000954627991,0.03571274131536484,0.009402472525835037,0.00764471897855401
fr,es,ru,0.8824000954627991,0.03571274131536484,0.004269772674888372,0.0042483266443014145
fr,de,en,0.7814080715179443,0.04528779909014702,0.821028470993042,0.04968535155057907
fr,de,zh,0.7814080715179443,0.04528779909014702,0.06097598373889923,0.026563290506601334
fr,de,es,0.7814080715179443,0.04528779909014702,0.027830379083752632,0.018010003492236137
fr,de,ru,0.7814080715179443,0.04528779909014702,0.00744804460555315,0.008170870132744312
fr,ru,en,0.7847049832344055,0.05000326409935951,0.8606347441673279,0.044849105179309845
fr,ru,zh,0.7847049832344055,0.05000326409935951,0.030202390626072884,0.01245557889342308
fr,ru,es,0.7847049832344055,0.05000326409935951,0.04092267528176308,0.026251686736941338
fr,ru,de,0.7847049832344055,0.05000326409935951,0.0137145034968853,0.013143442571163177
es,en,zh,0.8956823348999023,0.03268494829535484,0.020274633541703224,0.013007579371333122
es,en,fr,0.8956823348999023,0.03268494829535484,0.09913749992847443,0.05549899488687515
