src_lang,dest_lang,latent_lang,avg,sem95_error
en,zh,,0.775390625,0.04443359375
en,fr,,0.84521484375,0.03485107421875
en,es,,0.88134765625,0.02947998046875
en,de,,0.80078125,0.046295166015625
en,ru,,0.86865234375,0.034271240234375
zh,en,,0.7646484375,0.038299560546875
zh,fr,,0.67578125,0.047515869140625
zh,es,,0.720703125,0.042449951171875
zh,de,,0.67333984375,0.049072265625
zh,ru,,0.6552734375,0.041473388671875
fr,en,,0.86767578125,0.028656005859375
fr,zh,,0.654296875,0.0533447265625
fr,es,,0.830078125,0.03509521484375
fr,de,,0.712890625,0.04644775390625
fr,ru,,0.80078125,0.04180908203125
es,en,,0.88671875,0.040130615234375
es,zh,,0.712890625,0.0518798828125
es,fr,,0.818359375,0.048370361328125
es,de,,0.83935546875,0.04376220703125
es,ru,,0.83544921875,0.045654296875
de,en,,0.8486328125,0.038330078125
de,zh,,0.7216796875,0.053985595703125
de,fr,,0.78955078125,0.041107177734375
de,es,,0.830078125,0.037750244140625
de,ru,,0.7978515625,0.046966552734375
ru,en,,0.88134765625,0.039459228515625
ru,zh,,0.7119140625,0.05767822265625
ru,fr,,0.8017578125,0.0438232421875
ru,es,,0.88037109375,0.03424072265625
ru,de,,0.8037109375,0.043182373046875
