src_lang,dest_lang,latent_lang,avg,sem95_error,avg_latent,sem95_error_latent
en,zh,fr,0.8361435532569885,0.03343954682350159,0.07998175173997879,0.05220566317439079
en,zh,es,0.8361435532569885,0.03343954682350159,0.019707905128598213,0.02307073399424553
en,zh,de,0.8361435532569885,0.03343954682350159,0.0070639802142977715,0.010439022444188595
en,zh,ru,0.8361435532569885,0.03343954682350159,0.0024001833517104387,0.0013788568321615458
en,fr,zh,0.8621671199798584,0.032663099467754364,0.019456027075648308,0.012209825217723846
en,fr,es,0.8621671199798584,0.032663099467754364,0.15376394987106323,0.06233890354633331
en,fr,de,0.8621671199798584,0.032663099467754364,0.016836263239383698,0.01592300646007061
en,fr,ru,0.8621671199798584,0.032663099467754364,0.006540827918797731,0.0077220420353114605
en,es,zh,0.9127557873725891,0.028616705909371376,0.03070623241364956,0.015379903838038445
en,es,fr,0.9127557873725891,0.028616705909371376,0.1065298542380333,0.04958159476518631
en,es,de,0.9127557873725891,0.028616705909371376,0.0047462936490774155,0.0036181167233735323
en,es,ru,0.9127557873725891,0.028616705909371376,0.004708876367658377,0.003400065703317523
en,de,zh,0.818296492099762,0.03916121646761894,0.016911132261157036,0.008243042975664139
en,de,fr,0.818296492099762,0.03916121646761894,0.09093835949897766,0.05715041235089302
en,de,es,0.818296492099762,0.03916121646761894,0.019362054765224457,0.022904299199581146
en,de,ru,0.818296492099762,0.03916121646761894,0.0032107369042932987,0.00214474368840456
en,ru,zh,0.8982465863227844,0.03630852699279785,0.031075358390808105,0.019006913527846336
en,ru,fr,0.8982465863227844,0.03630852699279785,0.09723298996686935,0.0546354316174984
en,ru,es,0.8982465863227844,0.03630852699279785,0.030533714219927788,0.022598102688789368
en,ru,de,0.8982465863227844,0.03630852699279785,0.006317819934338331,0.004540913738310337
zh,en,fr,0.7766746282577515,0.04321219399571419,0.1006489023566246,0.05110248178243637
zh,en,es,0.7766746282577515,0.04321219399571419,0.0336843766272068,0.02303294651210308
zh,en,de,0.7766746282577515,0.04321219399571419,0.004682451020926237,0.001824809703975916
