src_lang,dest_lang,latent_lang,avg,sem95_error
zh,fr,en,0.127685546875,0.038482666015625
zh,es,en,0.1536865234375,0.04217529296875
zh,de,en,0.18017578125,0.035888671875
zh,ru,en,0.128662109375,0.0347900390625
fr,zh,en,0.1983642578125,0.03961181640625
fr,es,en,0.33642578125,0.061004638671875
fr,de,en,0.251708984375,0.050872802734375
fr,ru,en,0.213623046875,0.0406494140625
es,zh,en,0.1866455078125,0.042205810546875
es,fr,en,0.315185546875,0.06378173828125
es,de,en,0.27685546875,0.0518798828125
es,ru,en,0.206787109375,0.03912353515625
de,zh,en,0.173828125,0.040863037109375
de,fr,en,0.20068359375,0.046112060546875
de,es,en,0.211181640625,0.0439453125
de,ru,en,0.1781005859375,0.03826904296875
ru,zh,en,0.2015380859375,0.043975830078125
ru,fr,en,0.2322998046875,0.053985595703125
ru,es,en,0.2325439453125,0.04827880859375
ru,de,en,0.27490234375,0.05047607421875
en,fr,zh,0.833984375,0.036163330078125
en,es,zh,0.88232421875,0.032867431640625
en,de,zh,0.775390625,0.04327392578125
en,ru,zh,0.8173828125,0.04345703125
fr,en,zh,0.88525390625,0.0352783203125
fr,es,zh,0.8583984375,0.042938232421875
fr,de,zh,0.72607421875,0.0506591796875
fr,ru,zh,0.728515625,0.05291748046875
es,en,zh,0.904296875,0.035675048828125
es,fr,zh,0.82080078125,0.053131103515625
es,de,zh,0.76708984375,0.046478271484375
es,ru,zh,0.73974609375,0.05157470703125
de,en,zh,0.82763671875,0.039093017578125
de,fr,zh,0.7470703125,0.046142578125
de,es,zh,0.8017578125,0.035736083984375
de,ru,zh,0.6943359375,0.047607421875
ru,en,zh,0.8583984375,0.044586181640625
ru,fr,zh,0.80078125,0.04913330078125
ru,es,zh,0.8193359375,0.042694091796875
ru,de,zh,0.7548828125,0.04534912109375
en,zh,fr,0.7646484375,0.05291748046875
en,es,fr,0.73046875,0.0638427734375
en,de,fr,0.7119140625,0.060699462890625
en,ru,fr,0.77880859375,0.059173583984375
zh,en,fr,0.64453125,0.06597900390625
zh,es,fr,0.572265625,0.0655517578125
zh,de,fr,0.5419921875,0.051727294921875
zh,ru,fr,0.548828125,0.06219482421875
es,en,fr,0.77197265625,0.0673828125
es,zh,fr,0.7001953125,0.059967041015625
es,de,fr,0.7109375,0.059600830078125
es,ru,fr,0.72216796875,0.06304931640625
de,en,fr,0.69580078125,0.059814453125
de,zh,fr,0.69677734375,0.059661865234375
de,es,fr,0.63037109375,0.0621337890625
de,ru,fr,0.67724609375,0.05938720703125
ru,en,fr,0.76708984375,0.0670166015625
ru,zh,fr,0.7236328125,0.058441162109375
ru,es,fr,0.68017578125,0.06561279296875
ru,de,fr,0.69580078125,0.061431884765625
en,zh,es,0.8095703125,0.04498291015625
en,fr,es,0.68603515625,0.066650390625
en,de,es,0.76416015625,0.04986572265625
en,ru,es,0.77197265625,0.0570068359375
zh,en,es,0.705078125,0.057769775390625
zh,fr,es,0.541015625,0.06561279296875
zh,de,es,0.572265625,0.0540771484375
zh,ru,es,0.537109375,0.060394287109375
fr,en,es,0.82275390625,0.050750732421875
fr,zh,es,0.76904296875,0.045867919921875
fr,de,es,0.712890625,0.054229736328125
fr,ru,es,0.69921875,0.061065673828125
de,en,es,0.74267578125,0.0528564453125
de,zh,es,0.74072265625,0.052337646484375
de,fr,es,0.5810546875,0.06494140625
de,ru,es,0.65673828125,0.059295654296875
ru,en,es,0.8203125,0.05487060546875
ru,zh,es,0.767578125,0.049468994140625
ru,fr,es,0.65966796875,0.0697021484375
ru,de,es,0.751953125,0.0517578125
en,zh,de,0.8408203125,0.04052734375
en,fr,de,0.794921875,0.05133056640625
en,es,de,0.8564453125,0.041290283203125
en,ru,de,0.83740234375,0.04412841796875
zh,en,de,0.732421875,0.051666259765625
zh,fr,de,0.65283203125,0.060791015625
zh,es,de,0.68994140625,0.05474853515625
zh,ru,de,0.5927734375,0.05767822265625
fr,en,de,0.85546875,0.047119140625
fr,zh,de,0.81591796875,0.0418701171875
fr,es,de,0.83837890625,0.04681396484375
fr,ru,de,0.76806640625,0.051177978515625
es,en,de,0.87451171875,0.044677734375
es,zh,de,0.79150390625,0.046875
es,fr,de,0.7939453125,0.057403564453125
es,ru,de,0.76953125,0.05126953125
ru,en,de,0.8564453125,0.047210693359375
ru,zh,de,0.8056640625,0.04376220703125
ru,fr,de,0.78515625,0.057098388671875
ru,es,de,0.8125,0.045379638671875
en,zh,ru,0.81982421875,0.037139892578125
en,fr,ru,0.8486328125,0.038665771484375
en,es,ru,0.8984375,0.0308685302734375
en,de,ru,0.78564453125,0.049560546875
zh,en,ru,0.79052734375,0.0438232421875
zh,fr,ru,0.70703125,0.054718017578125
zh,es,ru,0.74462890625,0.04547119140625
zh,de,ru,0.60498046875,0.049072265625
fr,en,ru,0.90966796875,0.0285186767578125
fr,zh,ru,0.7890625,0.035675048828125
fr,es,ru,0.88671875,0.03656005859375
fr,de,ru,0.75390625,0.050628662109375
es,en,ru,0.92041015625,0.03173828125
es,zh,ru,0.75146484375,0.045135498046875
es,fr,ru,0.83984375,0.05029296875
es,de,ru,0.79345703125,0.04632568359375
de,en,ru,0.8466796875,0.034210205078125
de,zh,ru,0.75439453125,0.04693603515625
de,fr,ru,0.7763671875,0.04388427734375
de,es,ru,0.8212890625,0.035888671875
